分类,前端id/文案,请求参数名,响应字段(keys),响应中文名(names),auth权限位
时间筛选,实际开航时间,search_time[schedule_actual_delivery_date],schedule_actual_delivery_date,实际开航时间,interval
时间筛选,最近更新时间,search_time[order_updated_date],order_updated_date,最近更新时间,interval
时间筛选,客户应收日,search_time[charge_rec_date],charge_rec_date,应收日期,interval
时间筛选,应收日期,search_time[charge_rec_date_ext],charge_rec_date_ext,应收日期,interval
时间筛选,应付日期,search_time[charge_pay_date],charge_pay_date,应付日期,interval
时间筛选,预计开航日期,search_time[schedule_estimate_delivery_date],schedule_estimate_delivery_date,预计开航日期,interval
时间筛选,应付核销时间,search_time[receipt_pay_ts],receipt_pay_ts,应付核销时间,interval
时间筛选,应收收款时间,search_time[charge_rec_receipt_ts],charge_rec_receipt_ts,应收收款时间,interval
时间筛选,应付付款时间,search_time[charge_pay_payment_ts],charge_pay_payment_ts,应付付款时间,interval
时间筛选,报关单上传日期,search_time[file_customs_upload_ts],file_customs_upload_ts,报关单上传日期,interval
时间筛选,应收运费维护日期,search_time[ocean_freight_ts],ocean_freight_ts,应收运费维护日期,interval
时间筛选,供应商账单日期,search_time[supplier_bill_time],supplier_bill_time,供应商账单日期,interval
时间筛选,客户账单日期,search_time[customer_bill_time],customer_bill_time,客户确认账单日期,interval
时间筛选,收到报关单日期,search_time[get_customs_time],get_customs_time,收到报关单日期,interval
时间筛选,应收开票日期,search_time[invoice_rec_ts],invoice_rec_ts,应收开票日期,interval
时间筛选,单证上传时间-一融,search_time[first_file_upload_time],first_file_upload_time,单证上传时间-一融,interval
时间筛选,单证上传时间-二融,search_time[second_file_upload_time],second_file_upload_time,单证上传时间-二融,interval
时间筛选,完整资料日期,search_time[full_information_time],full_information_time,完整资料日期,interval
时间筛选,一融放款时间,search_time[first_loan_time],first_loan_time,一融放款时间,interval
时间筛选,二融放款时间,search_time[second_loan_time],second_loan_time,二融放款时间,interval
